English_Sentence,Hindi_Sentence,Word_Count_English,Word_Count_Hindi,WC_Difference,Char_Count_English,Char_Count_Hindi,CC_Difference
Delhi: Cleric claims car hit him after he refused to chant 'Jai Shri Ram',We found that the officer in charge of Kharsawan police station and an ASI did not handle the matter with sensitivity.,14,21,-7,73,118,-45
"In the 2013 Assembly election, the BJP had a sweeping victory by winning 163 out of 200 seats, while the Congress won just 21","Our forefathers worshiped in this mountain, said the Samaritan woman to Jesus, but you people say that in Jerusalem is the place where persons ought to worship.",24,27,-3,125,160,-35
"Though the government had taken over the land with the good intention of bringing in a big industry which would have provided employment and revenue to the state, but the method adopted was not correct.",As long as they have to depend on black money and dubious deals to collect their funds we will continue to see the sort of ugly wheeling and dealing we saw on the Tehelka tapes.,35,35,0,202,177,25
"You know, one thing is clear: I love sailing, for sure.","""There are 1.71 million rural habitations in the country.",11,9,2,55,57,-2
A case has been registered against the doctor.,How To Open A SBI Account In India For An NRI?,8,11,-3,46,46,0
"""The case would now come up for hearing on April 8.",Shamma Ali remained unbeaten on 0.,11,6,5,51,34,17
"""They have not been cancelled.","""TheRE is good news to be proclaimed!",5,7,-2,30,37,-7
"Nagamangala is a town in the Mandya district of Karnataka state, India.","When fence starts grazing the field itself, who will protect the field?",12,12,0,71,71,0
"Although Google has irrevocably released all of its patents on VP8 as a royalty-free format, the MPEG LA, licensors of the H.264 patent pool, have expressed interest in creating a patent pool for VP8.","""""""We'll study this decision carefully, and if there are additional steps that we need to take in order to comply with it, we will take them.""""""",34,26,8,200,144,56
"Before his conversion to Christianity, he had what seemed to be a promising future.",But I cant say too much.,14,6,8,83,24,59
"""The early Cholas under their chieftain Karikal figure prominently in these texts.","Dont sideload Gmail, YouTube on new Huawei devices: Google",12,9,3,82,58,24
I wanted to know if you might be interested in participating next week.,"""There were 40 different militant groups operating within Pakistan, he stated.",13,11,2,71,78,-7
We're the ones that pour ourselves into it.,"""The incident took place in south Delhis Mehrauli area.",8,9,-1,43,55,-12
"""The report also noted that only five 10-year contracts were signed in January 2008","""The victim has sustained 90 per cent burns.",14,8,6,83,44,39
"I should be arrested then, too.",We saw the relevance of policies and strategies and their translation into legislation and regulations.,6,15,-9,31,103,-72
"At 23, Gogoi became the editor of the op-ed page, which was a big responsibility at a young age, she said.",Father and Child went in and worshipped the Lord to their hearts' content.,21,13,8,106,74,32
"Following the accident, the bus driver had fled the spot.",Khan was a two-time recipient of the Filmfare Award for Best Dialogue for Meri Awaaz Suno (1982) and Angaar (1993).,10,20,-10,57,115,-58
"Paired Organs comprises of kidney, eyes etc.",God sets forth certain requirements for those who would enjoy his goodness. Psalm 15: 1 - 5.,7,17,-10,44,92,-48
He assured that the names of those giving information would be kept secret.,Megha did her BA from Emory University in International Relations.,13,10,3,75,66,9
He does not have a safe haven open to him and he has not travelled or applied for citizenship elsewhere.,"Plane with 100 on board crashes into building in Kazakhstan, at least 14 dead",20,14,6,104,77,27
"Connectivity options include Wi-Fi, GPS, Bluetooth, Micro-USB, 3G and 4G.",PM Modi wished nation on Ganesh Chaturthi,10,7,3,73,41,32
Did PM Modi ask him to do so and for what reason? he asked.,"""They also stressed on the requirement for Pakistan to produce evidence of proper trial which it claimed to have conducted in the case.",14,23,-9,59,135,-76
"""The governing body, 1950 s",All trains and flights have been suspended.,5,7,-2,27,43,-16
"""The India vs Bangladesh World Cup warm-up match will take place at the Sophia Gardens in Cardiff.",It is famous because it houses eleven Shiv Lingas,17,9,8,98,49,49
"I wish to clarify that my son Arjun & daughter Sara are not on Twitter, Tendulkar wrote on Twitter.","""The company has made no mechanical changes to the car.",19,10,9,99,55,44
"His condition is serious, the police said.","""""""If its not in the media, then nobody would know about these cases.""",7,13,-6,42,70,-28
"For example, you have to decide whether to invite someone youre not super close with to your birthday party.",But the woman was forced to marry someone else,19,9,10,108,46,62
"Soon after the incident, a police team rushed to the site and cordoned off the area.",He said that India had learnt a lesson from the 1962 war with China.,16,14,2,84,68,16
"""The crowd also hurled stones on the police injuring a few persons including policemen.",He said work on this project would be started soon.,14,10,4,87,51,36
"After the Islamic Revolution, Kish Island became a duty-free shopping center.",I have even written about this.,11,6,5,77,31,46
Ticket booking counters at railway stations will remain closed and no counter tickets (including platform tickets) will be issued.,"""The two are currently taking treatment at a hospital.",19,9,10,130,54,76
Also other members of Jamaat-e-Islami should be released.,"ICC ODI rankings: Virat Kohli, Jasprit Bumrah remain on top",8,10,-2,57,59,-2
Huawei has also introduced the technology on some of its phones.,"""The fund has been allotted Rs50 crore to begin with.",11,10,1,64,53,11
A BSF camp near the airport was attacked by militants in Srinagar.,"Unless the disease is diagnosed, the remedy, if any prescribed, is likely to prove infructuous.",12,15,-3,66,95,-29
"In debt private placements, firms issue debt securities or bonds to institutional investors to raise capital.","He says Indian Mujahideen (IM) was formed after the Gujarat riots, I would say this Congress leader (Ahmad) has the horoscope of IM",16,23,-7,109,131,-22
"On the other hand, Ranbir Kapoor will be seen alongside Vaani Kapoor in the film Shamshera.",This is his ninth IPL half-century.,16,6,10,91,35,56
He also slammed the Delhi government for not sanctioning the prosecution of former JNU students union leader Kanhaiya Kumar in a sedition case.,"""The vehemence with which Bengal Chief Minister Mamata Banerjee is seeking to joust with Mr Modi in leading the Opposition offensive tells another tale.",23,24,-1,143,152,-9
People are getting out of their houses only when it is extremely necessary.,All shops and commercial establishments will also remain closed.,13,9,4,75,64,11
"""Babul Supriyo, said, """"What TMC is doing under the leadership and dictate of Mamata Banerjee isn't new.""","""The government is considering to waive fare for women in DTC buses and Delhi Metro.",17,15,2,105,84,21
"During FY 2019-20 (upto January, 2020), 18.34 lakh MTs of fresh fruit (apples) have been dispatched.","""The agitation was led by BJPs Noida Mahanagar president Bijendra Nagar.",16,11,5,100,72,28
It is set to release in May this year.,He was shifted to SMHS Hospital for treatment.,9,8,1,38,46,-8
Rohan Bopanna and Divij Sharan won gold in Mens doubles tennis.,"""The US has already denied Hamid Aboutalebi a visa, and Mr Obama said he would treat the new law as advisory.",11,21,-10,63,109,-46
"Over 5 tonnes of banned tobacco products seized, 2 held",We will bring back our jobs.,10,6,4,55,28,27
"FOR good or for bad, most people imitate others.",His life and works were not limited by linguistic or State boundaries.,9,12,-3,48,70,-22
"""The mobilized gold will also supplement RBIs gold reserves and will help in reducing the governments borrowing cost.",Let me also tell you this is not the first time such things have happened.,18,15,3,117,74,43
"""The meetings with MDs and CEOs of public and private sector banks were also attended by deputy governors and other senior RBI officials.",Acid attacks are common in Vietnam although not to the level of countries such as Pakistan and India.,23,18,5,137,101,36
Bindra used his parents money to fulfil his medal dream while Dipa overcame infrastructural hurdles and systemic shortcomings to emerge among the best gymnasts in the world.,"Smith had not been dismissed in a Melbourne Test match since Boxing Day 2014, and was on track for his third century of the series on a bat-friendly MCG pitch.",27,30,-3,173,159,14
"Rohit Sharma, however, maintained his place at at No.",Add these 7 foods in your diet,9,7,2,53,30,23
"Globally, Asian markets were mostly higher.","""The following is a note issued by The Wire on October 20, 2018",6,13,-7,43,63,-20
Meanwhile Jonny Bairstow was listed as Englands wicket-keeper.,Whats so exciting about this?,8,5,3,62,29,33
Union Minister Mansukh Mandaviya praises CSL for laying historic milestone in Shipbuilding Industry,"""The Indian side appreciated Qatar's contribution to India's energy security.",13,10,3,99,77,22
"""We all went to Udaipur and explored Rajasthani food,"""" she said.""",Remember that in Micahs time the Israelites are rebellious.,11,9,2,66,59,7
"""The testing is currently underway.",To the continued progress and prosperity of the people of Belarus and,5,12,-7,35,69,-34
"""The BJP has formed an alliance with the Indigenous People's Front of Tripura (IPFT) in Tripura for the elections.","In its report, ED claimed that it recently recorded the statements of several witnesses and investigated bank transactions.",19,18,1,114,123,-9
Star batsman Tamim Iqbal is already out with a fractured hand and Bangladesh will also not have premier all-rounder Shakib-Al-Hasan in the line-up owing to a finger injury.,He said that Railways income generation and expenditure needs to be accounted closely so that there can be best use of the public money.,28,24,4,172,136,36
